Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
pencarian_positive,Chrome 121.0.0.0,,,12-02-2024 15:11:13,12-02-2024 15:18:12,6m - 59.064s,PASSED
,,,,,,,
Test Cases/positive/pencarian/pencarian_produk_tepat,Chrome 121.0.0.0,,,12-02-2024 15:11:14,12-02-2024 15:12:09,54.932s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,12-02-2024 15:11:15,12-02-2024 15:11:20,4.303s,PASSED
maximizeWindow(),Chrome 121.0.0.0,,,12-02-2024 15:11:20,12-02-2024 15:11:20,0.215s,PASSED
navigateToUrl(url),Chrome 121.0.0.0,,,12-02-2024 15:11:20,12-02-2024 15:11:24,3.915s,PASSED
"click(findTestObject(""Object Repository/positive/pencarian/input valid/svg_Sign out_menuSearch""))",Chrome 121.0.0.0,,,12-02-2024 15:11:24,12-02-2024 15:11:28,4.493s,PASSED
"setText(findTestObject(""Object Repository/positive/pencarian/input valid/input_Sign out_autoComplete""), ""hp pavilion 15z touch laptop"")",Chrome 121.0.0.0,,,12-02-2024 15:11:28,12-02-2024 15:11:30,1.636s,PASSED
"sendKeys(findTestObject(""Object Repository/positive/pencarian/input valid/input_Sign out_autoComplete""), Keys.chord(ENTER))",Chrome 121.0.0.0,,,12-02-2024 15:11:30,12-02-2024 15:12:00,30.436s,PASSED
"click(findTestObject(""Object Repository/positive/pencarian/input valid/li_SOLD OUT                                _5c76cc""))",Chrome 121.0.0.0,,,12-02-2024 15:12:00,12-02-2024 15:12:05,5.031s,PASSED
"click(findTestObject(""Object Repository/positive/pencarian/input valid/button_ADD TO CART""))",Chrome 121.0.0.0,,,12-02-2024 15:12:05,12-02-2024 15:12:06,0.959s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,12-02-2024 15:12:06,12-02-2024 15:12:07,0.257s,PASSED
Video,Chrome 121.0.0.0,,,12-02-2024 15:12:09,12-02-2024 15:12:09,0.002s,PASSED
,,,,,,,
Test Cases/positive/pencarian/pencarian_produk_tidak tepat,Chrome 121.0.0.0,,,12-02-2024 15:12:09,12-02-2024 15:12:40,30.760s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,12-02-2024 15:12:09,12-02-2024 15:12:11,2.284s,PASSED
maximizeWindow(),Chrome 121.0.0.0,,,12-02-2024 15:12:11,12-02-2024 15:12:12,0.341s,PASSED
"navigateToUrl(""https://advantageonlineshopping.com/#/"")",Chrome 121.0.0.0,,,12-02-2024 15:12:12,12-02-2024 15:12:15,3.013s,PASSED
"click(findTestObject(""Object Repository/positive/pencarian/input kurang/svg_Sign out_menuSearch""))",Chrome 121.0.0.0,,,12-02-2024 15:12:15,12-02-2024 15:12:19,4.236s,PASSED
"setText(findTestObject(""Object Repository/positive/pencarian/input kurang/input_Sign out_autoComplete""), ""hp pavilion"")",Chrome 121.0.0.0,,,12-02-2024 15:12:19,12-02-2024 15:12:20,1.226s,PASSED
"sendKeys(findTestObject(""Object Repository/positive/pencarian/input kurang/input_Sign out_autoComplete""), Keys.chord(ENTER))",Chrome 121.0.0.0,,,12-02-2024 15:12:20,12-02-2024 15:12:34,13.592s,PASSED
"click(findTestObject(""Object Repository/positive/pencarian/input kurang/img""))",Chrome 121.0.0.0,,,12-02-2024 15:12:34,12-02-2024 15:12:35,1.171s,PASSED
"click(findTestObject(""Object Repository/positive/pencarian/input kurang/li_SOLD OUT                                _b72a2b""))",Chrome 121.0.0.0,,,12-02-2024 15:12:35,12-02-2024 15:12:36,0.892s,PASSED
"click(findTestObject(""Object Repository/positive/pencarian/input kurang/button_ADD TO CART""))",Chrome 121.0.0.0,,,12-02-2024 15:12:36,12-02-2024 15:12:37,1.155s,PASSED
