Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
pencarian_positive,Chrome 121.0.0.0,,,12-02-2024 14:26:27,12-02-2024 14:33:50,7m - 23.520s,PASSED
,,,,,,,
Test Cases/positive/pencarian/pencarian_produk_tepat,Chrome 121.0.0.0,,,12-02-2024 14:26:27,12-02-2024 14:27:23,55.887s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,12-02-2024 14:26:28,12-02-2024 14:26:31,3.269s,PASSED
maximizeWindow(),Chrome 121.0.0.0,,,12-02-2024 14:26:31,12-02-2024 14:26:31,0.221s,PASSED
navigateToUrl(url),Chrome 121.0.0.0,,,12-02-2024 14:26:31,12-02-2024 14:26:36,4.608s,PASSED
"click(findTestObject(""Object Repository/positive/pencarian/input valid/svg_Sign out_menuSearch""))",Chrome 121.0.0.0,,,12-02-2024 14:26:36,12-02-2024 14:26:41,4.868s,PASSED
"setText(findTestObject(""Object Repository/positive/pencarian/input valid/input_Sign out_autoComplete""), ""hp pavilion 15z touch laptop"")",Chrome 121.0.0.0,,,12-02-2024 14:26:41,12-02-2024 14:26:42,1.405s,PASSED
"sendKeys(findTestObject(""Object Repository/positive/pencarian/input valid/input_Sign out_autoComplete""), Keys.chord(ENTER))",Chrome 121.0.0.0,,,12-02-2024 14:26:42,12-02-2024 14:27:13,30.491s,PASSED
"click(findTestObject(""Object Repository/positive/pencarian/input valid/li_SOLD OUT                                _5c76cc""))",Chrome 121.0.0.0,,,12-02-2024 14:27:13,12-02-2024 14:27:19,6.411s,PASSED
"click(findTestObject(""Object Repository/positive/pencarian/input valid/button_ADD TO CART""))",Chrome 121.0.0.0,,,12-02-2024 14:27:19,12-02-2024 14:27:21,1.346s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,12-02-2024 14:27:21,12-02-2024 14:27:21,0.323s,PASSED
Video,Chrome 121.0.0.0,,,12-02-2024 14:27:23,12-02-2024 14:27:23,0.004s,PASSED
,,,,,,,
Test Cases/positive/pencarian/pencarian_produk_tidak tepat,Chrome 121.0.0.0,,,12-02-2024 14:27:23,12-02-2024 14:28:02,39.200s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,12-02-2024 14:27:23,12-02-2024 14:27:25,1.202s,PASSED
maximizeWindow(),Chrome 121.0.0.0,,,12-02-2024 14:27:25,12-02-2024 14:27:25,0.156s,PASSED
"navigateToUrl(""https://advantageonlineshopping.com/#/"")",Chrome 121.0.0.0,,,12-02-2024 14:27:25,12-02-2024 14:27:29,4.310s,PASSED
"click(findTestObject(""Object Repository/positive/pencarian/input kurang/svg_Sign out_menuSearch""))",Chrome 121.0.0.0,,,12-02-2024 14:27:29,12-02-2024 14:27:34,4.688s,PASSED
