Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
pencarian_positive,Chrome 121.0.0.0,,,12-02-2024 14:01:29,12-02-2024 14:06:41,5m - 12.438s,PASSED
,,,,,,,
Test Cases/positive/pencarian/data produk,Chrome 121.0.0.0,,,12-02-2024 14:01:29,12-02-2024 14:02:39,1m - 9.658s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,12-02-2024 14:01:30,12-02-2024 14:01:32,2.172s,PASSED
maximizeWindow(),Chrome 121.0.0.0,,,12-02-2024 14:01:32,12-02-2024 14:01:32,0.175s,PASSED
"navigateToUrl(""https://advantageonlineshopping.com/#/"")",Chrome 121.0.0.0,,,12-02-2024 14:01:32,12-02-2024 14:01:35,3.055s,PASSED
"click(findTestObject(""Object Repository/positive/pencarian/input valid/svg_Sign out_menuSearch""))",Chrome 121.0.0.0,,,12-02-2024 14:01:35,12-02-2024 14:01:39,4.024s,PASSED
"setText(findTestObject(""Object Repository/positive/pencarian/input valid/input_Sign out_autoComplete""), namaProduk)",Chrome 121.0.0.0,,,12-02-2024 14:01:39,12-02-2024 14:01:40,1.099s,PASSED
delay(5),Chrome 121.0.0.0,,,12-02-2024 14:01:40,12-02-2024 14:01:45,5.056s,PASSED
"sendKeys(findTestObject(""Object Repository/positive/pencarian/input valid/input_Sign out_autoComplete""), Keys.chord(ENTER))",Chrome 121.0.0.0,,,12-02-2024 14:01:45,12-02-2024 14:02:15,30.191s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/data driven/card_result""), 5)",Chrome 121.0.0.0,,,12-02-2024 14:02:15,12-02-2024 14:02:38,22.834s,PASSED
"click(findTestObject(""Object Repository/data driven/card_result""))",Chrome 121.0.0.0,,,12-02-2024 14:02:38,12-02-2024 14:02:39,0.380s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,12-02-2024 14:02:39,12-02-2024 14:02:39,0.194s,PASSED
,,,,,,,
Test Cases/positive/pencarian/data produk,Chrome 121.0.0.0,,,12-02-2024 14:02:39,12-02-2024 14:04:16,1m - 37.346s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,12-02-2024 14:02:39,12-02-2024 14:02:40,0.921s,PASSED
maximizeWindow(),Chrome 121.0.0.0,,,12-02-2024 14:02:40,12-02-2024 14:02:40,0.136s,PASSED
"navigateToUrl(""https://advantageonlineshopping.com/#/"")",Chrome 121.0.0.0,,,12-02-2024 14:02:40,12-02-2024 14:02:43,3.136s,PASSED
